round,date,n1,n2,n3,n4,n5,n6,bonus
821,,11,15,27,28,36,38,32
822,,4,10,13,26,29,42,45
823,,4,8,9,29,34,43,35
824,,17,22,33,35,39,45,36
825,,7,23,26,27,33,39,30
826,,13,27,33,37,43,45,16
827,,2,6,11,24,39,45,21
828,,4,17,18,27,30,42,29
829,,1,21,23,25,30,34,42
830,,13,15,16,18,34,38,30
831,,4,8,17,24,43,44,38
832,,10,22,33,38,43,44,1
833,,5,6,12,13,15,37,25
834,,3,19,24,33,35,43,28
835,,2,4,27,33,44,45,5
836,,2,16,18,28,31,44,12
837,,5,9,23,30,32,37,10
838,,2,4,23,25,26,44,8
839,,4,6,12,20,29,44,3
840,,8,10,17,25,26,38,19
841,,12,16,27,34,36,39,7
842,,7,21,27,32,34,41,36
843,,4,8,13,15,25,36,6
844,,1,15,23,27,33,43,4
845,,12,13,26,32,35,40,37
846,,12,15,19,29,38,40,30
847,,1,14,25,28,29,41,19
848,,3,4,20,26,30,43,42
849,,7,8,18,31,32,34,37
850,,3,18,19,25,27,38,1
851,,3,5,19,30,32,45,28
852,,12,30,32,39,40,45,42
853,,3,23,32,35,36,37,17
854,,3,8,13,24,33,42,27
855,,2,25,28,38,40,45,6
856,,13,16,23,26,32,43,14
857,,32,33,35,36,41,42,24
858,,8,11,16,24,27,43,23
859,,5,7,16,19,31,45,41
860,,8,13,20,22,35,43,1
861,,9,10,17,22,29,43,12
862,,10,18,22,28,40,41,6
863,,12,19,23,27,44,45,2
864,,2,9,25,26,35,36,34
865,,4,12,14,24,35,36,27
866,,7,18,23,26,33,45,37
867,,17,18,26,29,32,37,22
868,,7,12,28,33,35,42,45
869,,3,21,23,26,41,42,15
870,,6,8,13,19,22,43,15
871,,3,18,23,26,28,38,12
872,,1,2,4,15,38,42,30
873,,1,6,17,31,35,36,44
874,,3,9,16,21,29,40,4
875,,3,11,17,30,32,36,12
876,,1,17,29,31,32,44,27
877,,5,9,34,36,38,40,2
878,,6,7,21,26,38,45,39
879,,7,8,14,31,40,41,22
880,,14,24,38,40,42,44,45
881,,2,3,17,34,36,45,4
882,,7,9,19,32,37,39,18
883,,9,12,13,14,18,21,40
884,,10,11,14,15,35,45,30
885,,6,16,19,23,40,45,42
886,,2,28,30,34,35,42,29
887,,6,22,23,38,40,44,11
888,,3,14,17,19,36,45,20
889,,4,15,17,23,25,45,30
890,,5,20,23,27,32,33,10
891,,8,15,25,26,32,37,16
892,,10,16,19,24,28,31,42
893,,2,13,16,18,24,38,9
894,,13,19,24,27,36,37,7
895,,5,22,28,34,37,39,24
896,,11,20,23,27,29,40,41
897,,1,14,27,36,38,44,42
898,,3,5,16,24,30,33,14
899,,1,2,22,33,38,42,43
900,,3,5,17,21,28,32,29
901,,2,21,22,36,41,43,20
902,,2,4,10,20,27,31,37
903,,2,13,19,24,37,39,33
904,,14,18,20,29,31,33,43
905,,5,7,8,32,36,37,25
906,,3,7,27,28,30,32,41
907,,7,13,20,25,26,38,1
908,,1,8,23,26,29,38,15
909,,5,11,16,29,32,33,31
910,,3,12,18,28,29,33,13
911,,4,14,17,31,42,43,6
912,,10,18,33,35,38,44,17
913,,8,13,15,22,32,33,23
914,,3,7,15,18,25,34,24
915,,5,10,13,22,36,38,28
916,,12,22,25,31,32,38,27
917,,8,12,24,26,27,40,43
918,,9,11,19,35,38,41,1
919,,4,5,8,10,22,37,7
920,,4,11,23,28,33,38,25
921,,4,14,24,26,32,41,22
922,,2,5,15,16,24,41,7
923,,2,4,15,18,35,41,38
924,,6,9,15,31,37,45,13
925,,22,24,26,35,36,41,44
926,,7,12,14,15,20,35,38
927,,1,5,20,24,35,37,11
928,,1,4,9,30,38,42,34
929,,2,6,12,19,28,37,38
930,,8,12,16,30,34,37,9
931,,10,18,27,31,36,44,17
932,,7,16,29,31,34,44,28
933,,9,18,25,26,34,41,1
934,,9,11,13,20,40,42,3
935,,13,27,28,40,41,45,12
936,,7,15,25,33,39,44,16
937,,7,18,19,28,29,41,20
938,,9,11,18,28,29,38,15
939,,12,27,32,33,36,44,38
940,,2,12,15,26,39,45,35
941,,8,11,12,24,33,41,45
942,,5,7,12,21,33,44,17
943,,4,7,9,23,33,41,35
944,,4,24,27,29,33,38,1
945,,1,8,19,20,29,31,37
946,,12,14,28,32,34,36,10
947,,11,15,17,20,27,29,42
948,,3,9,16,18,37,45,12
949,,3,13,16,25,35,45,31
950,,3,13,27,31,42,43,18
951,,1,11,21,35,39,45,34
952,,3,10,15,22,31,41,35
953,,6,19,23,30,31,34,3
954,,10,14,17,19,32,41,11
955,,2,4,13,18,19,23,26
956,,3,21,28,29,42,45,33
957,,3,13,15,26,35,40,23
958,,4,5,10,21,35,39,1
959,,5,6,13,28,32,34,41
960,,2,11,14,28,35,41,38
961,,1,13,14,20,27,34,17
962,,2,9,13,24,35,37,44
963,,13,18,21,25,30,41,10
964,,5,22,25,36,39,44,15
965,,1,5,27,29,33,34,7
966,,1,9,18,30,38,45,4
967,,5,7,12,29,35,39,41
968,,3,22,25,27,29,39,20
969,,1,11,26,39,40,41,13
970,,3,25,29,30,39,44,45
971,,14,18,25,28,33,38,44
972,,4,9,23,27,40,42,18
973,,1,3,6,28,34,43,32
974,,16,22,33,40,44,45,42
975,,2,6,19,30,43,45,8
976,,12,14,17,22,26,27,43
977,,2,13,21,22,29,45,37
978,,1,14,21,24,34,37,20
979,,8,9,13,26,31,32,36
980,,14,15,17,25,39,41,2
981,,4,6,11,12,32,38,15
982,,17,19,24,29,38,41,43
983,,2,4,7,22,34,39,8
984,,1,16,24,27,33,41,3
985,,10,21,34,36,37,42,24
986,,9,10,26,31,39,40,27
987,,2,3,10,21,33,41,23
988,,7,9,12,28,37,39,14
989,,1,4,8,24,30,38,36
990,,5,11,26,30,35,41,16
991,,2,8,10,11,33,39,43
992,,1,15,22,23,29,45,14
993,,2,18,23,25,27,34,30
994,,8,10,18,20,25,35,41
995,,2,8,21,23,30,45,33
996,,4,20,21,29,39,45,22
997,,17,21,23,32,36,38,12
998,,2,7,15,26,31,45,13
999,,18,26,28,37,39,44,7
1000,,1,4,17,28,42,45,35
1001,,2,6,16,18,20,21,24
1002,,15,19,23,29,39,43,13
1003,,13,19,20,22,25,44,3
1004,,7,10,13,22,24,27,18
1005,,3,11,12,25,39,40,29
1006,,9,10,11,27,35,44,4
1007,,2,8,13,18,29,35,16
1008,,5,6,8,23,32,34,15
1009,,4,9,14,22,23,39,37
1010,,11,12,16,17,27,31,13
1011,,2,7,11,14,19,39,6
1012,,4,16,20,25,33,39,9
1013,,3,14,22,24,32,42,27
1014,,15,21,22,29,31,42,8
1015,,4,23,32,41,43,45,26
1016,,9,19,31,34,35,44,28
1017,,17,19,21,26,41,44,39
1018,,8,9,16,17,21,42,33
1019,,2,12,25,29,37,43,15
1020,,10,22,25,30,43,44,31
1021,,1,9,22,32,33,42,40
1022,,8,26,30,32,38,39,20
1023,,12,17,21,24,38,42,16
1024,,13,14,16,23,25,36,24
1025,,5,20,28,39,40,42,3
1026,,13,15,18,28,34,36,8
1027,,13,17,23,27,33,35,4
1028,,4,9,14,28,35,36,18
1029,,3,5,25,27,37,42,4
1030,,2,3,8,20,31,45,10
1031,,12,22,24,25,34,40,10
1032,,17,24,27,33,35,39,22
1033,,1,11,32,37,41,43,7
1034,,2,12,14,23,38,41,37
1035,,12,16,18,21,26,35,6
1036,,4,16,22,28,29,30,33
1037,,3,4,8,15,16,31,37
1038,,2,31,36,38,44,45,26
1039,,5,13,15,23,24,40,44
1040,,11,18,19,23,32,39,42
1041,,2,15,23,27,28,32,40
1042,,4,7,27,30,35,45,21
1043,,8,10,13,16,39,44,38
1044,,13,20,34,37,41,44,31
1045,,1,2,26,31,39,45,44
1046,,1,4,11,18,38,42,21
1047,,1,19,28,33,35,41,3
1048,,6,11,18,24,35,43,26
1049,,18,25,29,30,43,44,11
1050,,2,21,22,25,29,39,6
1051,,13,22,25,30,32,44,28
1052,,11,12,21,32,38,44,1
1053,,11,20,22,28,30,35,42
1054,,3,15,28,31,36,40,37
1055,,2,12,17,28,37,40,16
1056,,2,5,13,16,18,22,12
1057,,6,9,11,19,33,39,22
1058,,1,4,10,13,28,35,40
1059,,8,31,33,35,38,39,11
1060,,17,18,23,28,36,40,26
1061,,1,3,9,23,26,31,8
1062,,1,2,3,7,10,13,36
1063,,5,8,18,26,42,43,30
1064,,6,7,9,21,36,41,24
1065,,3,10,19,34,40,43,24
1066,,19,22,27,36,42,45,44
1067,,1,2,6,27,30,44,25
1068,,3,4,17,29,35,44,36
1069,,2,21,28,30,33,39,45
1070,,2,4,18,22,34,43,9
1071,,8,18,19,27,36,37,43
1072,,11,18,35,38,39,43,32
1073,,1,12,39,42,44,45,38
1074,,3,24,29,37,39,44,30
1075,,2,3,12,23,30,39,28
1076,,3,23,25,26,30,42,45
1077,,6,29,35,37,38,45,2
1078,,6,7,11,12,18,28,45
1079,,1,5,23,26,38,40,25
1080,,1,3,4,23,37,45,35
1081,,15,16,17,28,37,44,35
1082,,10,27,34,38,41,45,4
1083,,4,13,18,26,27,28,9
1084,,5,10,17,21,25,44,13
1085,,8,12,23,24,42,43,11
1086,,6,16,18,38,40,45,20
1087,,13,15,16,29,32,44,31
1088,,3,8,14,19,38,40,10
1089,,2,14,23,24,27,36,9
1090,,3,22,29,34,37,43,1
1091,,1,2,29,30,35,42,8
1092,,17,18,19,22,38,40,6
1093,,5,22,24,25,42,43,11
1094,,4,26,27,35,39,40,15
1095,,8,10,26,27,35,39,30
1096,,11,16,34,43,44,45,1
1097,,10,11,18,24,28,40,26
1098,,11,18,20,31,34,41,33
1099,,11,14,22,24,33,39,31
1100,,7,9,23,26,34,36,42
1101,,4,17,34,38,43,45,35
1102,,4,15,18,20,28,33,24
1103,,7,8,17,31,33,43,27
1104,,7,17,19,20,28,30,27
1105,,9,15,16,29,33,40,6
1106,,8,13,20,28,29,30,6
1107,,7,16,17,26,35,42,1
1108,,1,10,17,25,35,36,5
1109,,16,20,26,31,34,45,19
1110,,6,7,18,29,32,38,36
1111,,8,15,25,27,33,40,20
1112,,7,13,18,34,37,38,4
1113,,9,10,17,24,26,33,32
1114,,7,21,25,28,36,41,32
1115,,4,8,13,14,27,43,12
1116,,9,15,22,42,44,45,41
1117,,27,28,35,38,39,40,25
1118,,11,13,30,32,38,39,43
1119,,9,12,18,24,29,37,10
1120,,1,7,9,11,18,33,3
1121,,5,10,11,13,20,38,34
1122,,3,11,21,28,30,40,4
1123,,6,8,12,14,32,34,25
1124,,12,15,17,27,32,34,1
1125,,16,21,27,28,34,41,30
1126,,16,21,31,33,37,45,43
1127,,4,15,18,37,40,42,12
1128,,13,24,28,29,31,44,9
1129,,11,14,23,33,39,41,4
1130,,6,13,17,34,44,45,2
1131,,5,29,37,39,41,45,24
1132,,4,6,11,12,16,39,33
1133,,3,17,23,30,34,35,32
1134,,2,8,17,26,35,42,29
1135,,13,26,31,36,40,41,39
1136,,1,5,12,39,43,45,2
1137,,1,10,19,23,29,30,34
1138,,10,12,20,27,29,36,22
1139,,1,13,22,26,34,45,38
1140,,3,10,11,26,38,40,4
1141,,8,10,23,24,25,34,43
1142,,6,15,21,24,29,40,5
1143,,5,11,13,17,41,43,39
1144,,3,7,11,17,33,45,19
1145,,3,7,15,27,29,39,17
1146,,17,23,25,28,32,40,36
1147,,6,7,14,25,29,42,1
1148,,2,8,9,14,15,21,10
1149,,1,6,15,19,31,39,41
1150,,2,6,34,35,36,44,37
1151,,5,9,32,33,34,41,45
1152,,7,12,14,21,32,34,45
1153,,6,10,25,28,30,44,12
1154,,3,7,10,31,36,43,12
1155,,5,12,33,34,39,43,28
1156,,3,7,30,36,37,43,35
1157,,15,23,32,33,34,40,13
1158,,2,7,10,13,34,36,11
1159,,11,17,19,22,27,28,8
1160,,16,24,26,33,34,45,23
1161,,2,12,21,24,29,35,10
1162,,23,31,32,34,36,41,9
1163,,20,32,33,34,35,37,4
1164,,1,6,10,11,19,32,38
1165,,13,17,20,21,41,42,24
1166,,4,9,34,36,38,43,40
1167,,4,7,19,31,34,38,3
1168,,8,9,33,34,40,42,22
1169,,1,12,19,28,36,38,27
1170,,9,10,13,26,33,41,43
1171,,7,20,21,33,38,39,4
1172,,6,21,26,27,30,45,18
1173,,2,5,14,24,28,33,42
1174,,2,19,27,29,37,40,11
1175,,13,14,20,24,28,40,43
1176,,13,21,26,31,39,42,32
1177,,2,13,25,27,28,36,30
1178,,3,13,33,34,35,40,15
1179,,10,13,18,25,39,41,1
1180,,1,2,8,10,16,38,17
