round,date,n1,n2,n3,n4,n5,n6,bonus,prize1_winners,prize1_amount,total_sales
410,2010-10-09,1,3,18,32,40,41,16,37,50648745,47467817000
411,2010-10-16,11,14,22,35,37,39,5,36,52957087,47259122000
412,2010-10-23,4,7,39,41,42,45,40,34,56830387,47066180000
413,2010-10-30,2,9,15,23,34,40,3,36,52123584,46925724000
414,2010-11-06,2,14,15,22,23,44,43,35,55732536,46910990000
415,2010-11-13,7,17,20,26,30,40,24,35,50825997,46746048000
416,2010-11-20,5,6,8,11,22,26,44,32,55835266,46854806000
417,2010-11-27,4,5,14,20,22,43,44,34,55261372,45968256000
418,2010-12-04,11,13,15,26,28,34,31,46,41613037,47058055000
419,2010-12-11,2,11,13,14,28,30,7,33,57522588,46508296000
420,2010-12-18,4,9,10,29,31,34,27,35,54280243,47345476000
421,2010-12-25,6,11,26,27,28,44,30,36,53730193,47752021000
422,2011-01-01,8,15,19,21,34,44,12,21,105011971,52730602000
423,2011-01-08,1,17,27,28,29,40,5,47,41448446,49668311000
424,2011-01-15,10,11,26,31,34,44,30,51,36257543,48728445000
425,2011-01-22,8,10,14,27,33,38,3,41,49913269,50459694000
426,2011-01-29,4,17,18,27,39,43,19,63,32351679,51466592000
427,2011-02-05,6,7,15,24,28,30,21,33,63492150,52511055000
428,2011-02-12,12,16,19,22,37,40,8,30,71884161,54685007000
429,2011-02-19,3,23,28,34,39,42,16,37,60239381,53993833000
430,2011-02-26,1,3,16,18,30,34,44,45,47755948,53194872000
431,2011-03-05,18,22,25,31,38,45,6,43,49164110,51661947000
432,2011-03-12,2,3,5,11,27,39,33,48,39920618,52348574000
433,2011-03-19,19,23,29,33,35,43,27,41,52866824,52396606000
434,2011-03-26,3,13,20,24,33,37,35,37,53335506,51579439000
435,2011-04-02,8,16,26,30,38,45,42,31,69223119,52341267000
436,2011-04-09,9,14,20,22,33,34,28,44,45826260,50869017000
437,2011-04-16,11,16,29,38,41,44,21,33,63522590,50798417000
438,2011-04-23,6,12,20,26,29,38,45,41,50383250,50370042000
439,2011-04-30,17,20,30,31,37,40,25,33,57578103,49680708000
440,2011-05-07,10,22,28,34,36,44,2,41,48679830,49810778000
441,2011-05-14,1,23,28,30,34,35,9,42,50324081,50272122000
442,2011-05-21,25,27,29,36,38,40,41,27,78522947,51219943000
443,2011-05-28,4,6,10,19,20,44,14,41,48570644,51236072000
444,2011-06-04,11,13,23,35,43,45,17,26,79888243,50673529000
445,2011-06-11,13,20,21,30,39,45,32,28,74653460,50053080000
446,2011-06-18,1,11,12,14,26,35,6,41,49405459,50595241000
447,2011-06-25,2,7,8,9,17,33,34,31,57160025,49555042000
448,2011-07-02,3,7,13,27,40,41,36,35,57517325,51341262000
449,2011-07-09,3,10,20,26,35,43,36,39,52047632,50214272000
450,2011-07-16,6,14,19,21,23,31,13,34,58540931,49732036000
451,2011-07-23,12,15,20,24,30,38,29,31,61654873,49861167000
452,2011-07-30,8,10,18,30,32,34,27,48,39903188,48456758000
453,2011-08-06,12,24,33,38,40,42,30,36,52378065,48055125000
454,2011-08-13,13,25,27,34,38,41,10,43,43658447,48389211000
455,2011-08-20,4,19,20,26,30,35,24,32,59635315,48769851000
456,2011-08-27,1,7,12,18,23,27,44,39,47818528,49420681000
457,2011-09-03,8,10,18,23,27,40,33,47,41131306,49679052000
458,2011-09-10,4,9,10,32,36,40,18,52,41251606,53778256000
459,2011-09-17,4,6,10,14,25,40,12,46,41995999,49890095000
460,2011-09-24,8,11,28,30,43,45,41,30,70686573,51917635000
461,2011-10-01,11,18,26,31,37,40,43,32,60896090,50624588000
462,2011-10-08,3,20,24,32,37,45,4,39,50719976,49325555000
463,2011-10-15,23,29,31,33,34,44,40,37,54687384,49205151000
464,2011-10-22,6,12,15,34,42,44,4,78,67273025,126772274000
465,2011-10-29,1,8,11,13,22,38,31,46,48788552,57793294000
466,2011-11-05,4,10,13,23,32,44,20,55,41735822,58314753000
467,2011-11-12,2,12,14,17,24,40,39,33,65247322,57383906000
468,2011-11-19,8,13,15,28,37,43,17,33,69418054,55598552000
469,2011-11-26,4,21,22,34,37,38,33,33,67275379,53364940000
470,2011-12-03,10,16,20,39,41,42,27,27,80246864,53912965000
471,2011-12-10,6,13,29,37,39,41,43,30,75418500,53492340000
472,2011-12-17,16,25,26,31,36,43,44,23,91794150,51929207000
473,2011-12-24,8,13,20,22,23,36,34,36,60192928,52867236000
474,2011-12-31,4,13,18,31,33,45,43,48,48785980,58978482000
475,2012-01-07,1,9,14,16,21,29,3,33,68441336,56043275000
476,2012-01-14,9,12,13,15,37,38,27,34,67448069,55591819000
477,2012-01-21,14,25,29,32,33,45,37,33,77535832,60801409000
478,2012-01-28,18,29,30,37,39,43,8,35,65814984,54975901000
479,2012-02-04,8,23,25,27,35,44,24,34,65677839,54848834000
480,2012-02-11,3,5,10,17,30,31,16,50,39956564,55415681000
481,2012-02-18,3,4,23,29,40,41,20,34,68225820,55642616000
482,2012-02-25,1,10,16,24,25,35,43,30,73808046,56201452000
483,2012-03-03,12,15,19,22,28,34,5,53,40364728,55582659000
484,2012-03-10,1,3,27,28,32,45,11,32,72040721,55885979000
485,2012-03-17,17,22,26,27,36,39,20,33,68248860,55692878000
486,2012-03-24,1,2,23,25,38,40,43,29,75357722,54540823000
487,2012-03-31,4,8,25,27,37,41,21,46,47502342,55276503000
488,2012-04-07,2,8,17,30,31,38,25,33,67191595,54213092000
489,2012-04-14,2,4,8,15,20,27,11,52,40506936,53558490000
490,2012-04-21,2,7,26,29,40,43,42,29,74837007,52590121000
491,2012-04-28,8,17,35,36,39,42,4,31,71067408,53413874000
492,2012-05-05,22,27,31,35,37,40,42,40,51937788,51693454000
493,2012-05-12,20,22,26,33,36,37,25,27,80617797,53231838000
494,2012-05-19,5,7,8,15,30,43,22,40,52729421,53321589000
495,2012-05-26,4,13,22,27,34,44,6,44,47991932,53645960000
496,2012-06-02,4,13,20,29,36,41,39,46,47622207,52915804000
497,2012-06-09,19,20,23,24,43,44,13,30,74093928,52411585000
498,2012-06-16,13,14,24,32,39,41,3,35,61800059,52851253000
499,2012-06-23,5,20,23,27,35,40,43,46,44244351,52767632000
500,2012-06-30,3,4,12,20,24,34,41,68,29803068,54012267000
501,2012-07-07,1,4,10,17,31,42,2,61,33062297,52717711000
502,2012-07-14,6,22,28,32,34,40,26,31,71014779,54000640000
503,2012-07-21,1,5,27,30,34,36,40,42,51489859,53572205000
504,2012-07-28,6,14,22,26,43,44,31,29,74650188,51787037000
505,2012-08-04,7,20,22,25,38,40,44,38,50472505,49103223000
506,2012-08-11,6,9,11,22,24,30,31,33,61717180,52363311000
507,2012-08-18,12,13,32,33,40,41,4,29,73264080,53638773000
508,2012-08-25,5,27,31,34,35,43,37,31,68798188,54010391000
509,2012-09-01,12,25,29,35,42,43,24,34,65908728,53390358000
510,2012-09-08,12,29,32,33,39,40,42,25,88138605,53964992000
511,2012-09-15,3,7,14,23,26,42,24,37,58529169,53970308000
512,2012-09-22,4,5,9,13,26,27,1,52,39170603,54017801000
513,2012-09-29,5,8,21,23,27,33,12,54,42496526,58317548000
514,2012-10-06,1,15,20,26,35,42,9,36,61820216,54452404000
515,2012-10-13,2,11,12,15,23,37,8,35,62859367,55258935000
516,2012-10-20,2,8,23,41,43,44,30,32,74146313,56385762000
517,2012-10-27,1,9,12,28,36,41,10,40,55397036,54468223000
518,2012-11-03,14,23,30,32,34,38,6,34,66582475,55321566000
519,2012-11-10,6,8,13,16,30,43,3,32,71115676,55614206000
520,2012-11-17,4,22,27,28,38,40,1,37,58573120,55003797000
521,2012-11-24,3,7,18,29,32,36,19,53,42601785,56185373000
522,2012-12-01,4,5,13,14,37,41,11,39,58503154,57053378000
523,2012-12-08,1,4,37,38,40,45,7,43,48304229,53678449000
524,2012-12-15,10,11,29,38,41,45,21,36,64661030,55662103000
525,2012-12-22,11,23,26,29,39,44,22,41,54919478,55566007000
526,2012-12-29,7,14,17,20,35,39,31,49,45643836,56527807000
527,2013-01-05,1,12,22,32,33,42,38,29,77132315,56985634000
528,2013-01-12,5,17,25,31,39,40,10,86,25536397,57548541000
529,2013-01-19,18,20,24,27,31,42,39,33,70671305,57645779000
530,2013-01-26,16,23,27,29,33,41,22,40,56450911,56241083000
531,2013-02-02,1,5,9,21,27,35,45,42,54339992,57567064000
532,2013-02-09,16,17,23,24,29,44,3,26,99476116,61687384000
533,2013-02-16,9,14,15,17,31,33,23,44,54111260,59275357000
534,2013-02-23,10,24,26,29,37,38,32,55,43078071,59227462000
535,2013-03-02,11,12,14,15,18,39,34,31,79606500,60523884000
536,2013-03-09,7,8,18,32,37,43,12,40,59973999,59763469000
537,2013-03-16,12,23,26,30,36,43,11,35,70134631,59453323000
538,2013-03-23,6,10,18,31,32,34,11,48,48833559,59233373000
539,2013-03-30,3,19,22,31,42,43,26,42,57894167,59168870000
540,2013-04-06,3,12,13,15,34,36,14,26,89266390,56739658000
541,2013-04-13,8,13,26,28,32,34,43,40,58177496,57087047000
542,2013-04-20,5,6,19,26,41,45,34,26,89813561,56949161000
543,2013-04-27,13,18,26,31,34,44,12,47,47358930,56570245000
544,2013-05-04,5,17,21,25,36,44,10,47,48237765,56056189000
545,2013-05-11,4,24,25,27,34,35,2,42,52337056,55967171000
546,2013-05-18,8,17,20,27,37,43,6,55,36903632,56713166000
547,2013-05-25,6,7,15,22,34,39,28,54,43803156,57968466000
548,2013-06-01,1,12,13,21,32,45,14,46,50344113,57771827000
549,2013-06-08,29,31,35,38,40,44,17,35,67078288,56864611000
550,2013-06-15,1,7,14,20,34,37,41,58,35360550,56441770000
551,2013-06-22,3,6,20,24,27,44,25,32,70452989,56989370000
552,2013-06-29,1,10,20,32,35,40,43,45,49289787,57602386000
553,2013-07-06,2,7,17,28,29,39,37,52,43262144,56487483000
554,2013-07-13,13,14,17,32,41,42,6,41,55397510,56124466000
555,2013-07-20,11,17,21,24,26,36,12,46,49594996,57273817000
556,2013-07-27,12,20,23,28,30,44,43,41,57058798,57374791000
557,2013-08-03,4,20,26,28,35,40,31,43,51226687,55086560000
558,2013-08-10,12,15,19,26,40,43,29,51,43003715,54939001000
559,2013-08-17,11,12,25,32,44,45,23,42,53504045,55733418000
560,2013-08-24,1,4,20,23,29,45,28,40,57653669,56565298000
561,2013-08-31,5,7,18,37,42,45,20,41,55969761,56638383000
562,2013-09-07,4,11,13,17,20,31,33,51,41940003,56288212000
563,2013-09-14,5,10,16,17,31,32,21,38,59338375,57320132000
564,2013-09-21,14,19,25,26,27,34,2,32,70539625,58012468000
565,2013-09-28,4,10,18,27,40,45,38,39,59557760,59556622000
566,2013-10-05,4,5,6,25,26,43,41,35,66837163,57666611000
567,2013-10-12,1,10,15,16,32,41,28,53,43748292,57439471000
568,2013-10-19,1,3,17,20,31,44,40,50,43505585,57681628000
569,2013-10-26,3,6,13,23,24,35,1,36,64220837,58441902000
570,2013-11-02,1,12,26,27,29,33,42,38,60307565,57654279000
571,2013-11-09,11,18,21,26,38,43,29,33,69524088,56493528000
572,2013-11-16,3,13,18,33,37,45,1,53,41967703,56473602000
573,2013-11-23,2,4,20,34,35,43,14,50,43885114,56092721000
574,2013-11-30,14,15,16,19,25,43,2,33,70355404,55882933000
575,2013-12-07,2,8,20,30,33,34,6,45,50348678,56330738000
576,2013-12-14,10,11,15,25,35,41,13,54,40018204,54691148000
577,2013-12-21,16,17,22,31,34,37,33,42,53386172,57010827000
578,2013-12-28,5,12,14,32,34,42,16,43,54195089,58584741000
579,2014-01-04,5,7,20,22,37,42,39,46,55640409,63532871000
580,2014-01-11,5,7,9,11,32,35,33,42,56350292,60514216000
581,2014-01-18,3,5,14,20,42,44,33,39,63061694,60257457000
582,2014-01-25,2,12,14,33,40,41,25,57,41643962,59306953000
583,2014-02-01,8,17,27,33,40,44,24,51,48236379,62675295000
584,2014-02-08,7,18,30,39,40,41,36,32,78643489,61343856000
585,2014-02-15,6,7,10,16,38,41,4,45,54018212,60253002000
586,2014-02-22,2,7,12,15,21,34,5,46,51546503,59502096000
587,2014-03-01,14,21,29,31,32,37,17,43,57843923,59715499000
588,2014-03-08,2,8,15,22,25,41,30,43,55995002,59533101000
589,2014-03-15,6,8,28,33,38,39,22,42,59357722,60643729000
590,2014-03-22,20,30,36,38,41,45,23,31,82238107,60003131000
591,2014-03-29,8,13,14,30,38,39,5,38,65014829,59373946000
592,2014-04-05,2,5,6,13,28,44,43,28,84156489,58097477000
593,2014-04-12,9,10,13,24,33,38,28,62,37084682,59368204000
594,2014-04-19,2,8,13,25,28,37,3,42,54807623,57764442000
595,2014-04-26,8,24,28,35,38,40,5,54,43074697,57797288000
596,2014-05-03,3,4,12,14,25,43,17,41,53994621,56561071000
597,2014-05-10,8,10,23,24,35,43,37,46,49829594,56832361000
598,2014-05-17,4,12,24,33,38,45,22,50,44479925,57518550000
599,2014-05-24,5,12,17,29,34,35,27,43,53051732,57381791000
600,2014-05-31,5,11,14,27,29,36,44,41,54987728,56372519000
601,2014-06-07,2,16,19,31,34,35,37,28,81673137,55868455000
602,2014-06-14,13,14,22,27,30,38,2,42,53635901,56262855000
603,2014-06-21,2,19,25,26,27,43,28,30,76714146,56276650000
604,2014-06-28,2,6,18,21,33,34,30,36,62595172,56266399000
605,2014-07-05,1,2,7,9,10,38,42,40,52283710,56622924000
606,2014-07-12,1,5,6,14,20,39,22,44,49680563,56928896000
607,2014-07-19,8,14,23,36,38,39,13,35,66561542,56806213000
608,2014-07-26,4,8,18,19,39,44,41,32,70857866,56146117000
609,2014-08-02,4,8,27,34,39,40,13,47,44959656,54858201000
610,2014-08-09,14,18,20,23,28,36,33,34,68941537,56862756000
611,2014-08-16,2,22,27,33,36,37,14,47,49683776,57411079000
612,2014-08-23,6,9,18,19,25,33,40,59,36719655,56931314000
613,2014-08-30,7,8,11,16,41,44,35,30,77491561,57986249000
614,2014-09-06,8,21,25,39,40,44,18,46,55238597,62301977000
615,2014-09-13,10,17,18,19,23,27,35,31,74277214,59072378000
616,2014-09-20,5,13,18,23,40,45,3,49,49341161,60303360000
617,2014-09-27,4,5,11,12,24,27,28,43,50533391,58958123000
618,2014-10-04,8,16,25,30,42,43,15,45,53357894,58550803000
619,2014-10-11,6,8,13,30,35,40,21,59,39088809,58822925000
620,2014-10-18,2,16,17,32,39,45,40,44,53780238,58342777000
621,2014-10-25,1,2,6,16,19,42,9,62,38060057,59407216000
622,2014-11-01,9,15,16,21,28,34,24,34,71938160,59601329000
623,2014-11-08,7,13,30,39,41,45,25,35,69093433,58504142000
624,2014-11-15,1,7,19,26,27,35,16,61,37755867,57832726000
625,2014-11-22,3,6,7,20,21,39,13,45,51207124,58614979000
626,2014-11-29,13,14,26,33,40,43,15,45,50899885,58986187000
627,2014-12-06,2,9,22,25,31,45,12,35,64391936,55981334000
628,2014-12-13,1,7,12,15,23,42,11,37,60808495,57253109000
629,2014-12-20,19,28,31,38,43,44,1,34,71554745,57618701000
630,2014-12-27,8,17,21,24,27,31,15,48,50378183,61335894000
631,2015-01-03,1,2,4,23,31,34,8,46,56809472,65300621000
632,2015-01-10,15,18,21,32,35,44,6,52,50507901,63066603000
633,2015-01-17,9,12,19,20,39,41,13,47,51798175,62015797000
634,2015-01-24,4,10,11,12,20,27,38,54,43250483,63149567000
635,2015-01-31,11,13,25,26,29,33,32,35,70689038,62429621000
636,2015-02-07,6,7,15,16,20,31,26,44,55526128,62786394000
637,2015-02-14,3,16,22,37,38,44,23,45,57766535,63504865000
638,2015-02-21,7,18,22,24,31,34,6,41,63438302,64319586000
639,2015-02-28,6,15,22,23,25,32,40,45,60165707,66202599000
640,2015-03-07,14,15,18,21,26,35,23,48,54024027,64080502000
641,2015-03-14,11,18,21,36,37,43,12,50,53068655,63773134000
642,2015-03-21,8,17,18,24,39,45,32,62,40369692,63544224000
643,2015-03-28,15,24,31,32,33,40,13,43,58971248,63110068000
644,2015-04-04,5,13,17,23,28,36,8,49,49835407,61846599000
645,2015-04-11,1,4,16,26,40,41,31,28,88007090,62661756000
646,2015-04-18,2,9,24,41,43,45,30,36,71798560,62308090000
647,2015-04-25,5,16,21,23,24,30,29,44,58060907,62314338000
648,2015-05-02,13,19,28,37,38,43,4,45,54988577,60874405000
649,2015-05-09,3,21,22,33,41,42,20,45,54593373,60473178000
650,2015-05-16,3,4,7,11,31,41,35,45,52764795,60991082000
651,2015-05-23,11,12,16,26,29,44,18,35,70678342,61494891000
652,2015-05-30,3,13,15,40,41,44,20,36,69525082,60426977000
653,2015-06-06,5,6,26,27,38,39,1,56,40873278,59716037000
654,2015-06-13,16,21,26,31,36,43,6,69,36315003,60697813000
655,2015-06-20,7,37,38,39,40,44,18,41,60784377,60434801000
656,2015-06-27,3,7,14,16,31,40,39,48,50902797,61328118000
657,2015-07-04,10,14,19,39,40,43,23,52,48887389,61769837000
658,2015-07-11,8,19,25,28,32,36,37,38,64501239,61131243000
659,2015-07-18,7,18,19,27,29,42,45,40,61261027,61677747000
660,2015-07-25,4,9,23,33,39,44,14,48,49349743,60813322000
661,2015-08-01,2,3,12,20,27,38,40,63,36254509,59597375000
662,2015-08-08,5,6,9,11,15,37,26,43,52394844,59164542000
663,2015-08-15,3,5,8,19,38,42,20,60,40449192,61100704000
664,2015-08-22,10,20,33,36,41,44,5,44,58212172,61921689000
665,2015-08-29,5,6,11,17,38,44,13,30,80960675,61885874000
666,2015-09-05,2,4,6,11,17,28,16,47,50997895,62652917000
667,2015-09-12,15,17,25,37,42,43,13,40,65005629,63421632000
668,2015-09-19,12,14,15,24,27,32,3,56,44511290,63346405000
669,2015-09-26,7,8,20,29,33,38,9,52,52080254,67952211000
670,2015-10-03,11,18,26,27,40,41,25,39,61114114,62242687000
671,2015-10-10,7,9,10,13,31,35,24,48,51698929,63940807000
672,2015-10-17,8,21,28,31,36,45,43,46,57219946,63542330000
673,2015-10-24,7,10,17,29,33,44,5,35,71021586,63163578000
674,2015-10-31,9,10,14,25,27,31,11,48,49182375,61386974000
675,2015-11-07,1,8,11,15,18,45,7,65,36046657,60458623000
676,2015-11-14,1,8,17,34,39,45,27,63,39782572,62147642000
677,2015-11-21,12,15,24,36,41,44,42,37,69229348,62267624000
678,2015-11-28,4,5,6,12,25,37,45,41,55816834,60887293000
679,2015-12-05,3,5,7,14,26,34,35,54,44182186,62220918000
680,2015-12-12,4,10,19,29,32,42,30,44,58893894,64245201000
681,2015-12-19,21,24,27,29,43,44,7,37,72873756,63268253000
682,2015-12-26,17,23,27,35,38,43,2,56,48377543,66757858000
683,2016-01-02,6,13,20,27,28,40,15,45,59907016,71940091000
684,2016-01-09,1,11,15,17,25,39,40,62,40858445,66623887000
685,2016-01-16,6,7,12,28,38,40,18,52,52686040,69126675000
686,2016-01-23,7,12,15,24,25,43,13,36,71760435,65274010000
687,2016-01-30,1,8,10,13,28,42,45,38,71579719,68044669000
688,2016-02-06,5,15,22,23,34,35,2,53,55685003,73095612000
689,2016-02-13,7,17,19,30,36,38,34,44,61562241,67460147000
690,2016-02-20,24,25,33,34,38,39,43,34,82831444,69142025000
691,2016-02-27,15,27,33,35,43,45,16,31,91590218,68590328000
692,2016-03-05,3,11,14,15,32,36,44,44,61018621,66390499000
693,2016-03-12,1,6,11,28,34,42,30,43,63673016,67352935000
694,2016-03-19,7,15,20,25,33,43,12,78,33227274,67533257000
695,2016-03-26,4,18,26,33,34,38,14,66,40283746,67672085000
696,2016-04-02,1,7,16,18,34,38,21,44,61820243,67542971000
697,2016-04-09,2,5,8,11,33,39,31,90,28360057,66966141000
698,2016-04-16,3,11,13,21,33,37,18,48,53363448,66283268000
699,2016-04-23,4,5,8,16,21,29,3,50,53210970,66743146000
700,2016-04-30,11,23,28,29,30,44,13,41,67710543,66846276000
701,2016-05-07,3,10,14,16,36,38,35,40,65965966,64454138000
702,2016-05-14,3,13,16,24,26,29,9,46,58391324,66219854000
703,2016-05-21,10,28,31,33,41,44,21,51,52872290,65728988000
704,2016-05-28,1,4,8,23,33,42,45,47,54825395,65930117000
705,2016-06-04,1,6,17,22,28,45,23,49,54247708,65859843000
706,2016-06-11,3,4,6,10,28,30,37,51,50088184,65723488000
707,2016-06-18,2,12,19,24,39,44,35,74,35734252,66813924000
708,2016-06-25,2,10,16,19,34,45,1,52,52558362,66806307000
709,2016-07-02,10,18,30,36,39,44,32,44,61794708,65592504000
710,2016-07-09,3,4,9,24,25,33,10,57,42331011,65083972000
711,2016-07-16,11,15,24,35,37,45,42,44,60385961,66152746000
712,2016-07-23,17,20,30,31,33,45,19,47,57226740,66136318000
713,2016-07-30,2,5,15,18,19,23,44,50,51441628,64646552000
714,2016-08-06,1,7,22,33,37,40,20,46,52883776,64099989000
715,2016-08-13,2,7,27,33,41,44,10,61,42713286,65794607000
716,2016-08-20,2,6,13,16,29,30,21,35,77642981,67040169000
717,2016-08-27,2,11,19,25,28,32,44,47,57498590,68597839000
718,2016-09-03,4,11,20,23,32,39,40,64,41002162,69400763000
719,2016-09-10,4,8,13,19,20,43,26,58,48609863,71378392000
720,2016-09-17,1,12,29,34,36,37,41,37,77805338,69939090000
721,2016-09-24,1,28,35,41,43,44,31,40,75792246,71627567000
722,2016-10-01,12,14,21,30,39,43,45,46,63266996,69446489000
723,2016-10-08,20,30,33,35,36,44,22,40,70478846,67750231000
724,2016-10-15,2,8,33,35,37,41,14,55,51919630,69987274000
725,2016-10-22,6,7,19,21,41,43,38,47,61600673,70208676000
726,2016-10-29,1,11,21,23,34,44,24,56,48619694,68799295000
727,2016-11-05,7,8,10,19,21,31,20,87,29907105,67559139000
728,2016-11-12,3,6,10,30,34,37,36,56,48265840,68306112000
729,2016-11-19,11,17,21,26,36,45,16,35,79966681,68784161000
730,2016-11-26,4,10,14,15,18,22,39,45,59774285,66934105000
731,2016-12-03,2,7,13,25,42,45,39,45,60678880,69239673000
732,2016-12-10,2,4,5,17,27,32,43,45,57121831,68645948000
733,2016-12-17,11,24,32,33,35,40,13,57,46979242,69321488000
734,2016-12-24,6,16,37,38,41,45,18,36,81224813,71457582000
735,2016-12-31,5,10,13,27,37,41,4,50,61574387,77488209000
736,2017-01-07,2,11,17,18,21,27,6,54,52428430,73510203000
737,2017-01-14,13,15,18,24,27,41,11,48,59486959,70775944000
738,2017-01-21,23,27,28,38,42,43,36,48,62417021,71768122000
739,2017-01-28,7,22,29,33,34,35,30,45,70283294,77999661000
740,2017-02-04,4,8,9,16,17,19,31,43,65367195,75186520000
741,2017-02-11,5,21,27,34,44,45,16,55,55338108,74392585000
742,2017-02-18,8,10,13,36,37,40,6,44,67382716,73857792000
743,2017-02-25,15,19,21,34,41,44,10,46,66161185,73436852000
744,2017-03-04,10,15,18,21,34,41,43,61,47352934,73507293000
745,2017-03-11,1,2,3,9,12,23,10,110,22631000,73575119000
746,2017-03-18,3,12,33,36,42,45,25,58,52723027,74239579000
747,2017-03-25,7,9,12,14,23,28,17,59,48386812,73337880000
748,2017-04-01,3,10,13,22,31,32,29,59,49023218,72750277000
749,2017-04-08,12,14,24,26,34,45,41,64,45706660,72252889000
750,2017-04-15,1,2,15,19,24,36,12,44,66873978,72248100000
751,2017-04-22,3,4,16,20,28,44,17,69,40540447,71534233000
752,2017-04-29,4,16,20,33,40,43,7,75,37407177,71600822000
753,2017-05-06,2,17,19,24,37,41,3,58,46743191,68915001000
754,2017-05-13,2,8,17,24,29,31,32,50,57125700,70765850000
755,2017-05-20,13,14,26,28,30,36,37,54,54677217,71300635000
756,2017-05-27,10,14,16,18,27,28,4,53,53686081,70992946000
757,2017-06-03,6,7,11,17,33,44,1,68,38079993,71053002000
758,2017-06-10,5,9,12,30,39,43,24,63,43999365,71764259000
759,2017-06-17,9,33,36,40,42,43,32,44,68924330,72632208000
760,2017-06-24,10,22,27,31,42,43,12,45,66764427,72200797000
761,2017-07-01,4,7,11,24,42,45,30,52,53683057,71415903000
762,2017-07-08,1,3,12,21,26,41,16,53,51302896,70558895000
763,2017-07-15,3,8,16,32,34,43,10,45,63352000,70652100000
764,2017-07-22,7,22,24,31,34,36,15,44,65226623,70318932000
765,2017-07-29,1,3,8,12,42,43,33,54,51352512,70972360000
766,2017-08-05,9,30,34,35,39,41,21,41,70687392,69500769000
767,2017-08-12,5,15,20,31,34,42,22,46,63248301,71285599000
768,2017-08-19,7,27,29,30,38,44,4,53,55743521,72306975000
769,2017-08-26,5,7,11,16,41,45,4,55,52657093,72873431000
770,2017-09-02,1,9,12,23,39,43,34,75,38455100,74166379000
771,2017-09-09,6,10,17,18,21,29,30,49,59355714,73545939000
772,2017-09-16,5,6,11,14,21,41,32,53,55648077,74375369000
773,2017-09-23,8,12,19,21,31,35,44,58,50871937,74560597000
774,2017-09-30,12,15,18,28,34,42,9,60,52241491,77347021000
775,2017-10-07,11,12,29,33,38,42,17,37,78163011,70795452000
776,2017-10-14,8,9,18,21,28,40,20,50,59676853,74826082000
777,2017-10-21,6,12,17,21,34,37,18,66,44199063,75534360000
778,2017-10-28,6,21,35,36,37,41,11,67,46746788,75075606000
779,2017-11-04,6,12,19,24,34,41,4,66,42436370,73773676000
780,2017-11-11,15,17,19,21,27,45,16,45,67936006,74232084000
781,2017-11-18,11,16,18,19,24,39,43,52,54314180,72483157000
782,2017-11-25,6,18,31,34,38,45,20,49,59586356,72253973000
783,2017-12-02,14,15,16,17,38,45,36,36,85258605,73525256000
784,2017-12-09,3,10,23,24,31,39,22,51,56137589,74311382000
785,2017-12-16,4,6,15,25,26,33,40,55,52484049,72974563000
786,2017-12-23,12,15,16,20,24,30,38,96,31606704,75930156000
787,2017-12-30,5,6,13,16,27,28,9,51,60629575,79593923000
788,2018-01-06,2,10,11,19,35,39,29,70,43378993,78121882000
789,2018-01-13,2,6,7,12,19,45,38,70,40749173,76136603000
790,2018-01-20,3,8,19,27,30,41,12,59,52452713,78978881000
791,2018-01-27,2,10,12,31,33,42,32,38,76943625,74205844000
792,2018-02-03,2,7,19,25,29,36,16,65,47667071,76339003000
793,2018-02-10,10,15,21,35,38,43,31,61,51231514,76177477000
794,2018-02-17,6,7,18,19,30,38,13,45,68728082,79941579000
795,2018-02-24,3,10,13,26,34,38,36,62,50711686,79661342000
796,2018-03-03,1,21,26,36,40,41,5,46,70088524,77685943000
797,2018-03-10,5,22,31,32,39,45,36,34,94001103,77339940000
798,2018-03-17,2,10,14,22,32,36,41,60,52709843,77038759000
799,2018-03-24,12,17,23,34,42,45,33,56,54357954,76708986000
800,2018-03-31,1,4,10,12,28,45,26,51,58675518,76994062000
801,2018-04-07,17,25,28,37,43,44,2,51,59000959,74034792000
802,2018-04-14,10,11,12,18,24,42,27,67,43102408,75146781000
803,2018-04-21,5,9,14,26,30,43,2,50,61063504,75670793000
804,2018-04-28,1,10,13,26,32,36,9,49,61061095,74557028000
805,2018-05-05,3,12,13,18,31,32,42,53,53661157,73065981000
806,2018-05-12,14,20,23,31,37,38,27,57,54050662,74030583000
807,2018-05-19,6,10,18,25,34,35,33,59,48202363,73831580000
808,2018-05-26,15,21,31,32,41,43,24,46,67122185,74911438000
809,2018-06-02,6,11,15,17,23,40,39,56,52167371,74214104000
810,2018-06-09,5,10,13,21,39,43,11,64,46491626,74388355000
811,2018-06-16,8,11,19,21,36,45,25,49,60098767,74570813000
812,2018-06-23,1,3,12,14,16,43,10,68,43352276,74147816000
813,2018-06-30,11,30,34,35,42,44,27,43,71190127,73394947000
814,2018-07-07,2,21,28,38,42,45,30,52,58984463,74316543000
815,2018-07-14,17,21,25,26,27,36,4,39,77175161,73416400000
816,2018-07-21,12,18,19,29,31,39,7,67,42350407,72397826000
817,2018-07-28,3,9,12,13,25,43,34,54,51902149,72552766000
818,2018-08-04,14,15,25,28,29,30,3,39,76711351,71793353000
819,2018-08-11,16,25,33,38,40,45,15,49,61774640,74578907000
